text,label
"The agent was very helpful and solved my issue quickly.",1
"This is spam.",0
"I am not satisfied with support.",0
"Thank you for your quick reply.",1
"Your service was excellent!",1
"I did not get a response to my issue.",0
"App is easy to use and intuitive.",1
"Unhelpful and rude staff.",0
"Resolved my problem quickly.",1
"This feedback is irrelevant.",0
"Great customer care experience.",1
"I never received a call back.",0
"Agent was polite and knowledgeable.",1
"This is not related to customer service.",0
"Very satisfied with the support.",1
"Fake message.",0
"Great experience overall.",1
"This is just a test.",0
"Quick and efficient response!",1
"Unhelpful response from support.",0
"Prompt and accurate information provided.",1
"Received wrong information.",0
"Thank you for your assistance.",1
"No resolution was provided.",0
"Very helpful and friendly staff.",1
"Unprofessional behavior from agent.",0
"Excellent support!",1
"Did not solve my problem.",0
"Agent was very understanding.",1
"Unrelated feedback.",0
"Fast and efficient service.",1
"Received automated response only.",0
"Support team was very helpful.",1
"Spam message.",0
"Thank you for resolving my issue.",1
"Complaint not addressed.",0
"Agent was patient and helpful.",1
"Not satisfied with the solution.",0
"Great job!",1
"Unwanted promotional message.",0
"Very pleased with the assistance.",1
"Support was not helpful.",0
"Agent went above and beyond.",1
"Received no reply.",0
"Thank you for your support.",1
"Unhelpful chatbot response.",0
"Very professional service.",1
"Did not get the help I needed.",0
"Quick resolution to my problem.",1
"Message not relevant.",0
